"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"AUSOMENT","117.10","130.00","12.90","11.02","130.00","42,332","0.55","-","117.10","59.00"
"GRSE","1,192.60","1,314.00","121.40","10.18","1,314.00","1,00,025","13.14","-","1,236.00","446.00"
"MCON","128.25","141.00","12.75","9.94","141.00","4,000","0.06","-","179.35","90.00"
"UMANGDAIRY","96.30","105.00","8.70","9.03","105.00","8,627","0.09","-","112.00","57.40"
"BAHETI","245.25","266.25","21.00","8.56","266.25","750","0.02","-","274.40","97.00"
"EXXARO","110.75","119.75","9.00","8.13","119.75","49,091","0.59","-","152.00","82.20"
"SILLYMONKS","20.20","21.80","1.60","7.92","21.80","6","-","-","23.00","13.25"
"MANGALAM","118.05","127.00","8.95","7.58","127.00","34,139","0.43","-","132.45","90.80"
"DSSL","1,333.40","1,433.95","100.55","7.54","1,433.95","4,506","0.65","-","1,468.80","363.00"
"TPLPLASTEH","94.00","100.95","6.95","7.39","100.95","16,225","0.16","-","106.50","37.25"
"GOENKA","0.75","0.80","0.05","6.67","0.80","14","-","-","1.10","0.65"
"GODHA","0.75","0.80","0.05","6.67","0.80","6,24,909","0.05","-","1.60","0.45"
"TAINWALCHM","198.90","212.00","13.10","6.59","212.00","8,368","0.18","-","198.90","108.00"
"GLAND","1,793.05","1,910.15","117.10","6.53","1,910.15","53,835","10.28","-","2,194.00","861.00"
"MAXESTATES","331.45","351.00","19.55","5.90","351.00","3,497","0.12","-","379.90","242.75"
"KHANDSE","29.25","30.80","1.55","5.30","30.80","1,350","-","-","40.40","22.35"
"SMSLIFE","663.30","697.00","33.70","5.08","697.00","16","-","-","789.90","472.05"
"PGEL","2,380.10","2,500.00","119.90","5.04","2,500.00","38,616","9.65","-","2,569.60","1,428.30"
"MBECL","5.00","5.25","0.25","5.00","5.25","3,629","-","-","7.10","2.90"
"LGHL","324.00","340.20","16.20","5.00","340.20","172","0.01","-","355.40","140.00"
"SAHANA","1,132.50","1,189.10","56.60","5.00","1,189.10","1,750","0.21","-","1,132.50","136.05"
"KDL","1,219.95","1,280.90","60.95","5.00","1,280.90","14,800","1.90","-","1,440.00","123.25"
"DREDGECORP","936.75","983.55","46.80","5.00","983.55","20,697","2.04","-","936.75","308.65"
"SEL","499.40","524.35","24.95","5.00","524.35","1,600","0.08","-","499.40","150.00"
"DBCORP","293.35","308.00","14.65","4.99","308.00","7,987","0.25","-","373.30","119.30"
"IRIS","198.25","208.15","9.90","4.99","208.15","3,250","0.07","-","198.25","75.35"
"GIRIRAJ","511.70","537.25","25.55","4.99","537.25","250","0.01","-","1,001.70","36.86"
"PRATHAM","408.80","429.20","20.40","4.99","429.20","6,400","0.27","-","417.00","96.00"
"SMARTLINK","296.60","311.40","14.80","4.99","311.40","1,029","0.03","-","346.30","150.25"
"REFRACTORY","105.35","110.60","5.25","4.98","110.60","12,000","0.13","-","105.35","75.00"
"VMARCIND","188.65","198.05","9.40","4.98","198.05","13,000","0.26","-","219.70","42.95"
"SAMPANN","28.10","29.50","1.40","4.98","29.50","2,022","0.01","-","30.00","12.90"
"CRAYONS","133.55","140.20","6.65","4.98","140.20","13,000","0.18","-","259.00","90.00"
"MICEL","54.30","57.00","2.70","4.97","57.00","2,25,848","1.29","-","55.70","15.80"
"ARSSINFRA","23.15","24.30","1.15","4.97","24.30","1,076","-","-","25.95","16.40"
"SOMATEX","36.25","38.05","1.80","4.97","38.05","8,290","0.03","-","42.20","18.20"
"GAYAPROJ","7.10","7.45","0.35","4.93","7.45","200","-","-","10.25","4.55"
"INDOTECH","1,584.45","1,662.00","77.55","4.89","1,662.00","2,686","0.45","-","2,005.95","238.25"
"VIVIANA","711.30","746.00","34.70","4.88","746.00","1,000","0.07","-","711.30","120.30"
"SECL","21.55","22.60","1.05","4.87","22.60","6,250","0.01","-","36.75","15.85"
"MANAKALUCO","25.70","26.95","1.25","4.86","26.95","10,907","0.03","-","46.00","20.60"
"PAVNAIND","556.10","583.05","26.95","4.85","583.05","49","-","-","640.85","269.60"
"HPIL","150.35","157.55","7.20","4.79","157.55","6","-","-","210.60","86.50"
"ABINFRA","55.35","58.00","2.65","4.79","58.00","2,000","0.01","-","67.36","25.51"
"KHAITANLTD","65.85","69.00","3.15","4.78","69.00","200","-","-","95.25","42.20"
"HYBRIDFIN","11.55","12.10","0.55","4.76","12.10","10","-","-","11.55","7.00"
"MPTODAY","37.85","39.65","1.80","4.76","39.65","2,000","0.01","-","54.50","30.05"
"AAKASH","11.60","12.15","0.55","4.74","12.15","18,268","0.02","-","15.40","5.70"
"RTNPOWER","13.75","14.40","0.65","4.73","14.40","15,71,104","2.26","-","14.50","3.05"
"GATECHDVR","3.20","3.35","0.15","4.69","3.35","261","-","-","12.40","2.90"
"CORALFINAC","45.15","47.25","2.10","4.65","47.25","30","-","-","74.50","31.20"
"BINANIIND","19.50","20.40","0.90","4.62","20.40","1,101","-","-","24.80","13.30"
"WEL","1,128.35","1,180.00","51.65","4.58","1,180.00","25","-","-","1,279.90","210.05"
"HBSL","108.80","113.75","4.95","4.55","113.75","1,260","0.01","-","108.80","44.40"
"MARSHALL","28.70","30.00","1.30","4.53","30.00","500","-","-","63.16","22.30"
"MADHUCON","9.95","10.40","0.45","4.52","10.40","2","-","-","11.70","4.10"
"IVP","176.15","184.00","7.85","4.46","184.00","61","-","-","290.00","134.35"
"DCMFINSERV","5.65","5.90","0.25","4.42","5.90","113","-","-","7.45","3.90"
"SIKKO","90.55","94.50","3.95","4.36","94.50","7,884","0.07","-","118.00","54.55"
"FCONSUMER","1.15","1.20","0.05","4.35","1.20","4,44,794","0.05","-","1.25","0.55"
"AKSHARCHEM","278.80","290.80","12.00","4.30","290.80","572","0.02","-","365.50","220.05"
"IMPEXFERRO","3.50","3.65","0.15","4.29","3.65","126","-","-","6.40","2.70"
"NPST","1,476.75","1,538.50","61.75","4.18","1,538.50","1,400","0.22","-","1,668.80","193.33"
"BEDMUTHA","254.35","264.95","10.60","4.17","264.95","1,196","0.03","-","314.40","54.05"
"RADAAN","2.40","2.50","0.10","4.17","2.50","10,000","-","-","2.60","1.40"
"CALSOFT","15.95","16.60","0.65","4.08","16.60","1","-","-","23.25","12.00"
"DNAMEDIA","4.95","5.15","0.20","4.04","5.15","1,523","-","-","6.80","2.50"
"SANGINITA","22.40","23.30","0.90","4.02","23.30","175","-","-","40.05","14.86"
"CONSOFINVT","225.85","234.85","9.00","3.98","234.85","100","-","-","346.95","114.40"
